miscData,,,,,,,,,
startTime,,,,,,,,,
0,,,,,,,,,
,,,,,,,,,,
calls,,,,,,,,,
index,priority,x,y,arrivalTime,dispatchDelay,onSceneDuration,transport,hospitalIndex,handoverDuration,atom,CCC,recommendedAmbulanceClass
1,1,-73.8995731594708,40.84946666303741,0.0,0.0009722322222222221,0.012997685185185183,1,63,0.03315972222222222,048AB,GED,ALS
2,2,-73.84592194,40.81971416,0.0023958333333333336,0.0002662137037037037,0.011018518518518518,1,18,0.028391203703703707,043BA,GED,BLS
3,2,-73.9261539,40.84262545,0.0034375,0.00020834333333333334,0.013912037037037037,1,19,0.026284722222222223,044KC,GED,BLS
4,2,-73.89558266,40.81630829,0.0035763888888888894,0.00015047296296296297,0.016516203703703703,1,,0.037523148148148146,041GA,None,BLS
5,2,-73.83133053,40.84681712,0.005810185185185186,0.0007291766666666667,0.0,0,,0.0,045GA,None,BLS
6,1,-73.90587977733907,40.81170470577773,0.006701388888888889,0.00013889888888888888,0.0,0,,0.0,040BB,None,ALS
7,2,-73.86061418,40.87707715,0.006851851851851852,0.00037038037037037035,0.01511574074074074,1,25,0.032581018518518516,047BA,PGED,BLS
8,1,-73.84690202999143,40.90590009101078,0.010219907407407408,5.788037037037037e-05,0.0,0,,0.0,047IF,None,ALS
9,1,-73.85787939,40.86036772,0.010810185185185185,0.0004513988888888889,0.013206018518518518,1,21,0.009710648148148147,047NA,GED,ALS
10,1,-73.91097801,40.81430008,0.012615740740740742,0.00016204703703703703,0.008541666666666668,1,23,0.0409375,040DA,GED,ALS
11,1,-73.92275803797244,40.817387843882855,0.01587962962962963,0.0001273248148148148,0.008680555555555556,1,23,0.03364583333333333,040HB,GED,ALS
12,2,-73.87021186895637,40.88107551932028,0.01734953703703704,1e-08,0.0,0,,0.0,047BB,nan,BLS
13,1,-73.86285131,40.81392027,0.01741898148148148,8.102851851851851e-05,0.012858796296296297,1,,0.03497685185185185,043AC,PGED,ALS
14,2,-73.86919746,40.84222484,0.02028935185185185,0.0005671396296296296,0.013425925925925924,1,21,0.0346412037037037,043RB,GED,BLS
15,1,-73.92445329,40.83627444,0.02039351851851852,9.260259259259258e-05,0.0,0,,0.0,044EC,None,BLS
16,2,-73.86200645,40.88765003,0.021122685185185185,0.00031251,0.0,0,,0.0,047EB,None,BLS
17,2,-73.86773341,40.88029142,0.021574074074074075,0.0008217692592592592,0.0,0,,0.0,047BB,None,BLS
18,2,-73.78916724,40.85257732,0.022037037037037036,0.00013889888888888888,0.0,0,,0.0,045IB,None,BLS
19,1,-73.91981492,40.84698285,0.022349537037037032,0.00010417666666666667,0.010046296296296296,1,19,0.025474537037037035,046IA,GED,ALS
20,2,-73.85785929,40.89917899,0.022951388888888886,4.6306296296296296e-05,0.0,0,,0.0,047IA,None,BLS
21,1,-73.87021186895637,40.88107551932028,0.023287037037037037,0.0006481581481481482,0.0,0,,0.0,047BB,None,ALS
22,1,-73.88038776,40.84423141,0.023333333333333334,0.00018519518518518517,0.0,0,,0.0,048IA,None,ALS
23,2,-73.88856229,40.86854618,0.02359953703703704,4.6306296296296296e-05,0.01099537037037037,1,25,0.025532407407407406,052GA,GED,BLS
24,2,-73.91989463,40.82905965,0.02443287037037037,0.00013889888888888888,0.020601851851851854,1,23,0.03096064814814815,044GB,GED,BLS